City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Santa Cruz De La Palma,ES,28.6835,-17.7642,71.74,68,100,19.57,overcast clouds
164,Hirara,JP,24.8,125.2833,82.78,86,100,15.61,overcast clouds
165,Novopokrovka,UA,49.8425,36.5477,63.59,68,13,4.41,few clouds
166,Kavieng,PG,-2.5744,150.7967,80.06,80,25,6.82,moderate rain
167,Puerto Santander,CO,8.3636,-72.4063,85.41,62,100,6.4,overcast clouds
168,Oranjemund,NA,-28.55,16.4333,55.11,73,25,17.52,scattered clouds
169,Hwange,ZW,-18.3693,26.5019,59.9,62,0,2.21,clear sky
170,Vostok,RU,46.4856,135.8833,53.78,95,21,2.08,few clouds
171,Ugoofaaru,MV,5.6667,73.0,82.49,75,37,12.55,scattered clouds
172,Yuncheng,CN,35.0231,110.9928,76.66,66,5,3.27,clear sky
173,Tazovskiy,RU,67.4667,78.7,57.72,64,70,12.06,broken clouds
174,Ndungu,TZ,-4.3667,38.05,65.23,90,79,2.04,broken clouds
175,Aquidauana,BR,-20.4711,-55.7872,73.6,65,0,3.98,clear sky
176,Shenjiamen,CN,29.9576,122.298,73.27,98,100,15.46,moderate rain
177,Sola,VU,-13.8833,167.55,78.82,75,14,2.53,few clouds
178,Lavrentiya,RU,65.5833,-171.0,52.2,55,10,6.06,clear sky
179,Labuhan,ID,-6.8844,112.2051,76.28,88,73,4.97,broken clouds
180,Vila,PT,42.0304,-8.1588,49.08,90,98,4.07,overcast clouds
181,Gimbi,ET,9.1667,35.8333,56.05,99,98,2.73,moderate rain
182,Cocoa Beach,US,28.32,-80.6076,87.12,77,65,11.9,broken clouds
183,Chake Chake,TZ,-5.2459,39.7666,75.54,74,98,11.72,overcast clouds
184,Tasiilaq,GL,65.6145,-37.6368,43.16,68,68,4.38,broken clouds
185,Mogadishu,SO,2.0371,45.3438,78.87,79,18,17.43,few clouds
186,Florence,IT,43.7667,11.25,80.28,68,0,4.61,clear sky
187,Vanimo,PG,-2.6741,141.3028,75.67,91,36,4.88,scattered clouds
188,Progreso,MX,21.2833,-89.6667,88.11,70,92,18.43,overcast clouds
189,Yangjiang,CN,21.85,111.9667,79.93,91,98,13.18,heavy intensity rain
190,Abu Samrah,SY,35.3029,37.1841,73.18,40,0,9.44,clear sky
191,Saldanha,ZA,-33.0117,17.9442,50.05,75,91,13.69,overcast clouds
192,Kamenka,RU,51.3223,42.7678,60.55,90,53,9.91,broken clouds
193,Rock Springs,US,41.5875,-109.2029,72.32,24,59,30.24,broken clouds
194,Dunedin,NZ,-45.8742,170.5036,43.81,88,100,3.0,overcast clouds
195,Lompoc,US,34.6391,-120.4579,84.78,60,0,24.0,clear sky
196,Riyadh,SA,24.6877,46.7219,98.74,7,4,3.36,clear sky
197,Lagoa,PT,39.05,-27.9833,62.87,74,100,21.09,overcast clouds
198,Bitung,ID,1.4451,125.1824,76.05,88,99,11.43,heavy intensity rain
199,Wewak,PG,-3.5534,143.6268,78.49,81,32,3.74,scattered clouds
200,Ialibu,PG,-6.2821,143.9935,56.17,93,75,1.43,broken clouds
201,Zheleznodorozhnyy,RU,55.7503,38.0042,67.55,51,100,9.73,overcast clouds
202,Pevek,RU,69.7008,170.3133,44.78,71,74,11.92,broken clouds
203,Grand Gaube,MU,-20.0064,57.6608,70.2,72,0,3.0,clear sky
204,Kutum,SD,14.2,24.6667,82.6,19,40,12.24,scattered clouds
205,Varsag,RO,46.5167,25.35,56.88,87,3,2.8,clear sky
