City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Belle Fourche,US,2022-06-18 19:17:10,44.6714,-103.8522,95.34,21,100,16.87
157,Dikson,RU,2022-06-18 19:12:22,73.5069,80.5464,29.55,93,17,11.25
158,Laguna,US,2022-06-18 19:16:48,38.421,-121.4238,75.31,43,0,3.44
159,Keita,NE,2022-06-18 19:17:11,14.7551,5.7749,94.01,31,100,8.28
160,Benguela,AO,2022-06-18 19:17:11,-12.5763,13.4055,67.39,84,81,6.6
161,Lichtenburg,ZA,2022-06-18 19:17:12,-26.152,26.1597,51.28,42,0,8.43
162,Dalvik,IS,2022-06-18 19:17:12,65.9702,-18.5286,57.13,56,95,0.87
163,Troitsko-Pechorsk,RU,2022-06-18 19:17:13,62.7084,56.1964,56.21,77,26,2.62
164,Necochea,AR,2022-06-18 19:17:13,-38.5473,-58.7368,51.87,42,95,14.88
165,Muyezerskiy,RU,2022-06-18 19:17:13,63.9333,31.65,51.08,94,100,3.36
166,Bethel,US,2022-06-18 19:12:18,41.3712,-73.414,66.58,64,100,14.97
167,Mus,TR,2022-06-18 19:17:14,39.0,41.75,65.43,36,0,4.05
168,Leningradskiy,RU,2022-06-18 19:17:14,69.3833,178.4167,38.84,76,83,7.58
169,Tsumeb,NA,2022-06-18 19:17:15,-19.2333,17.7167,64.26,28,0,4.7
170,Pacific Grove,US,2022-06-18 19:17:15,36.6177,-121.9166,71.02,64,0,13.8
171,Xinzhou,CN,2022-06-18 19:17:16,38.4092,112.7333,71.92,59,92,2.39
172,Kavieng,PG,2022-06-18 19:17:16,-2.5744,150.7967,81.37,72,72,10.42
173,Okhotsk,RU,2022-06-18 19:17:17,59.3833,143.3,43.65,92,100,7.9
174,Hambantota,LK,2022-06-18 19:17:17,6.1241,81.1185,79.84,83,99,10.27
175,Saskylakh,RU,2022-06-18 19:12:26,71.9167,114.0833,38.8,95,100,16.67
176,Quatre Cocos,MU,2022-06-18 19:17:18,-20.2078,57.7625,69.1,78,13,5.82
177,Touros,BR,2022-06-18 19:17:18,-5.1989,-35.4608,80.89,69,67,12.03
178,Codrington,AU,2022-06-18 19:12:26,-38.2667,141.9667,43.48,92,22,9.62
179,Mitsamiouli,KM,2022-06-18 19:17:19,-11.3847,43.2844,77.18,69,38,16.44
180,Hovd,MN,2022-06-18 19:09:42,48.0056,91.6419,62.26,32,3,3.65
181,Nishihara,JP,2022-06-18 19:17:19,26.1842,127.7558,80.26,94,100,10.36
182,Mount Isa,AU,2022-06-18 19:13:06,-20.7333,139.5,62.37,55,6,6.91
183,Sakakah,SA,2022-06-18 19:17:20,29.9697,40.2064,101.77,10,0,8.81
184,Inhambane,MZ,2022-06-18 19:18:20,-23.865,35.3833,67.48,73,0,10.65
185,Muisne,EC,2022-06-18 19:16:12,0.6,-80.0333,76.33,84,94,12.44
186,Kuytun,RU,2022-06-18 19:18:21,54.3419,101.5036,53.64,81,99,4.79
187,Iquitos,PE,2022-06-18 19:18:21,-3.7481,-73.2472,89.64,62,75,6.91
188,Vladesti,RO,2022-06-18 19:18:22,45.1167,24.3,60.84,77,16,3.42
189,Gryazi,RU,2022-06-18 19:18:22,52.4966,39.9359,58.28,89,6,3.18
190,Defiance,US,2022-06-18 19:18:23,41.3334,-84.45,75.45,33,0,11.5
191,Khatanga,RU,2022-06-18 19:18:23,71.9667,102.5,38.41,80,100,17.98
192,Lata,PT,2022-06-18 19:18:24,40.1629,-8.3327,63.7,78,98,6.26
193,Peski,RU,2022-06-18 19:18:24,55.2163,38.7626,55.71,84,100,6.15
194,Kidal,ML,2022-06-18 19:18:25,18.4411,1.4078,90.12,32,71,8.3
195,Ostersund,SE,2022-06-18 19:18:25,63.1792,14.6357,48.61,81,40,10.36
196,Atar,MR,2022-06-18 19:18:25,20.5169,-13.0499,98.69,26,79,15.1
197,Chokurdakh,RU,2022-06-18 19:11:05,70.6333,147.9167,44.2,58,100,10.6
198,Itarema,BR,2022-06-18 19:15:32,-2.9248,-39.9167,81.43,76,100,12.46
199,Kieta,PG,2022-06-18 19:18:26,-6.2167,155.6333,78.17,84,100,0.43
200,Khadyzhensk,RU,2022-06-18 19:18:26,44.4256,39.5319,67.93,69,84,1.5
201,Castro,BR,2022-06-18 19:12:14,-24.7911,-50.0119,59.11,57,0,3.96
202,Constitucion,CL,2022-06-18 19:15:56,-35.3333,-72.4167,55.87,56,100,9.64
203,Dunedin,NZ,2022-06-18 19:18:27,-45.8742,170.5036,45.81,76,100,13.0
204,Rouvroy,FR,2022-06-18 19:18:28,50.3925,2.904,78.69,59,37,14.7
205,Naze,JP,2022-06-18 19:18:28,28.3667,129.4833,72.52,90,100,6.91
206,Samarai,PG,2022-06-18 19:18:28,-10.6167,150.6667,80.22,80,36,4.5
207,Salalah,OM,2022-06-18 19:18:29,17.0151,54.0924,86.09,84,75,11.5
208,Vestmanna,FO,2022-06-18 19:18:29,62.1564,-7.1664,47.32,93,100,40.29
209,Zemio,CF,2022-06-18 19:18:30,5.0314,25.1361,68.54,88,100,4.34
210,Vondrozo,MG,2022-06-18 19:18:30,-22.8167,47.2833,59.38,96,100,2.42
211,Camacha,PT,2022-06-18 19:18:31,33.0833,-16.3333,67.42,83,40,11.5
212,Paraiso,CR,2022-06-18 19:18:31,9.8383,-83.8656,73.31,81,70,4.0
213,Saint George,US,2022-06-18 19:18:31,37.1041,-113.5841,93.63,11,0,19.57
214,Tungor,RU,2022-06-18 19:18:32,53.3808,142.9564,44.74,93,100,10.25
215,Presidente Dutra,BR,2022-06-18 19:18:32,-5.29,-44.49,86.68,59,16,4.45
216,Surgut,RU,2022-06-18 19:18:33,61.25,73.4167,55.09,76,0,0.0
217,Tilichiki,RU,2022-06-18 19:18:33,60.4667,166.1,43.83,93,100,1.7
218,Poum,NC,2022-06-18 19:18:33,-20.2333,164.0167,75.06,80,100,3.83
219,Banda Aceh,ID,2022-06-18 19:18:34,5.5577,95.3222,79.05,81,87,3.91
220,Nikolskoye,RU,2022-06-18 19:10:54,59.7035,30.7861,59.88,98,100,7.4
221,Da Nang,VN,2022-06-18 19:18:34,16.0678,108.2208,82.38,83,20,2.3
222,Kathmandu,NP,2022-06-18 19:18:35,27.7167,85.3167,70.02,88,75,2.3
223,Manthani,IN,2022-06-18 19:18:35,18.65,79.6667,88.56,56,100,9.57
224,Meulaboh,ID,2022-06-18 19:18:35,4.1363,96.1285,74.44,90,95,3.78
225,Altay,CN,2022-06-18 19:18:36,47.8667,88.1167,56.95,54,1,3.69
226,Lashio,MM,2022-06-18 19:18:36,22.9333,97.75,66.04,99,98,1.19
227,Broome,US,2022-06-18 19:15:45,42.2506,-75.833,59.54,69,100,12.66
228,San Quintin,MX,2022-06-18 19:18:37,30.4833,-115.95,69.03,61,5,17.63
229,Ormond Beach,US,2022-06-18 19:18:37,29.2858,-81.0559,94.01,64,40,8.05
230,Cap Malheureux,MU,2022-06-18 19:18:37,-19.9842,57.6142,69.48,75,31,3.0
